Phrase,No. of Emails,Fitness
more,2547,45.846
"more,internationa",2858,45.728004
"more,software",2783,44.528004
"more,internationa,size",3024,42.336002
"more,software,online,full",3478,41.736
"business,address",2592,41.472
"more,internationa,remove,looking",3382,40.584
"more,internationa,size,bank",3351,40.212
"business,address,within,medic",3296,39.552002
"more,internationa,size,professional",3288,39.456
"business,link",2420,38.72
"more,las,client,pain",3211,38.532
"business,address,world,versions",3177,38.124
"more,internationa,securities,div",3144,37.728
"email,money,statements",2692,37.688
"more,software,run,break",3077,36.924
"business,address,increase,draw",3075,36.9
"price,late,professional,internet",3057,36.684002
"email,full",2284,36.544003
"business,soft,max",2595,36.33
"business,late,professional,details",3023,36.276
"money,soft",2252,36.031998
"business,soft,max,bar",2928,35.136
"more,bank,international,wind,content",3471,34.71
"address,website",2169,34.704002
"order,investment,full,over",2887,34.644
"business,address,perfect,database",2862,34.344
"business,link,world,versions,professional",3430,34.3
"late,professional,online,full",2855,34.260002
"over,cheap,best",2424,33.935997
"email,extra",2101,33.616
"online,full,fun,late",2736,32.832
"more,die,strong,results,affiliate",3281,32.81
"email,failure,doll,break",2734,32.808
"business,security,fast",2335,32.69
"more,internationa,size,bank,money,soft",4046,32.368
email,1791,32.238
"money,statements,world",2288,32.031998
"email,over,power,spam,weight",3202,32.02
"price,less,international",2274,31.835999
"over,power",1983,31.728
"business,link,bank,international,wind",3164,31.64
"over,power,project,internet",2618,31.416
"price,less",1958,31.328001
price,1730,31.14
"online,full,fun",2224,31.135998
"fun,always,professional,remove",2593,31.116001
"remove,looking,million,watch",2590,31.080002
"price,without,plans",2212,30.968
"remove,major,las,order",2578,30.936
"over,stock,save,bank",2562,30.744001
"address,doll,strong",2194,30.715998
"order,investment,full",2189,30.645998
"email,failure",1914,30.624
"late,professional,internet",2187,30.618
"over,address,event,doll,strong",3033,30.33
"over,cheap",1892,30.272
"address,event,prom,hour",2522,30.264002
"money,program,event",2161,30.254
business,1662,29.915998
over,1659,29.862
"website,last,best,sex",2476,29.712002
"online,full,fun,anti,bar",2967,29.67
"over,power,spam,weight,soft",2959,29.59
"over,power,link,hours,communication",2947,29.47
"email,extra,online,full,fun,late",3676,29.408
"price,late,professional,internet,website,last",3660,29.28
"more,las,client,pain,project,internet",3652,29.216002
"money,program,event,online,increase",2915,29.15
"within,medic,best,sex",2423,29.076
"address,event,doll,strong",2413,28.956001
"price,within,medic,multi,music",2887,28.87
"office,hour,best,sex",2402,28.824001
"within,medic,best,sex,prices",2867,28.67
"late,professional,details",2047,28.658
"business,soft,max,link,hours,communication",3582,28.656
"stock,save,link",2046,28.644
"more,software,run,break,million,technology",3580,28.64
"over,power,spam,weight",2383,28.596
"address,event",1778,28.448
"email,full,online,full,fun,late",3545,28.36
"remove,looking,prom,products",2361,28.332003
"order,investment",1766,28.256
"money,suite",1761,28.176
"over,power,las,client,pain",2802,28.02
"over,cheap,website,last,best,sex",3484,27.872
"price,without,plans,office,health",2787,27.87
"price,less,international,power,fast",2773,27.73
"online,full,fun,office,computron",2766,27.66
"late,professional",1725,27.6
"more,internationa,more,las,client,pain",3449,27.592
"online,increase,investment,security",2297,27.564001
"over,cheap,best,order,investment,full",3420,27.36
"software,watch,color,million",2275,27.3
"money,statements",1701,27.216002
"late,perfect,prom,hour",2266,27.192001
"money,suite,image,rest",2256,27.072002
"million,reader,website",1929,27.005999
"money,statements,office,computron",2238,26.856
"fun,always,professional",1887,26.418001
money,1465,26.37
"address,doll,strong,address",2194,26.328001
"doll,strong,remove,major",2194,26.328001
"order,hour,bank,international,wind",2628,26.28
"remove,major,las,late,perfect",2625,26.25
"email,extra,prices,internet,limited,font",3281,26.248001
"order,investment,security,fast,body",2617,26.17
"fun,always,professional,office,hour",2609,26.09
"best,phone,las,link,hours",2599,25.99
"prices,internet,online,transfer,wait",2586,25.86
"remove,major,las",1846,25.844
"doll,break,prom,products",2151,25.812002
"over,cheap,die,strong,looking",2576,25.76
"order,private,run,anti,bar",2571,25.71
"money,order,investment,security,fast,body",3206,25.648
"world,versions,professional",1829,25.605999
"order,hour",1594,25.504002
"prices,internet,auto,face,results",2548,25.48
"online,full",1592,25.472
"order,hour,details,statement,within",2547,25.47
"best,phone,las",1810,25.34
"email,full,program,der,entertainment,last",3165,25.32
"interested,computer,project",1803,25.241999
"price,late,professional,internet,late,perfect",3149,25.192
"doll,break,software,instant",2096,25.152002
"stock,save,bank",1789,25.045998
"price,less,investment,adobe,meds",2504,25.04
"remove,looking",1559,24.944002
"website,last,best,sex,bank,international",3111,24.888
"prices,wind,content,security,fast",2488,24.88
"email,failure,prices,internet,limited,font",3092,24.736
"more,software,over,power,link,hours,communication",4108,24.648
"price,prices,internet,limited,font",2439,24.39
address,1352,24.335999
"best,sex,transfer,wait,interested",2427,24.27
"million,watch,fun,always",2021,24.252003
"order,investment,software,watch,color,million",3028,24.224
"order,private,run",1729,24.206
"within,last,spam",1726,24.164
"remove,major,world,health,awesome",2416,24.16
"investment,security,world,versions",2013,24.156
"details,statement,fun",1719,24.065998
"transfer,wait,interested,soft,max",2403,24.03
"million,watch",1491,23.856
"money,suite,choose,desire",1987,23.844002
